Sacramento 	Salem
Olympia 	Salem
BatonRouge 	Tallahassee
Helena 	        SaltLakeCity
Atlanta 	Columbia
Nashville 	Atlanta
Denver          SantaFe
Denver          Cheyenne
SaintPaul 	DesMoines
OklahomaCity    Austin
Topeka 	        OklahomaCity
Madison 	Springfield
SantaFe 	LittleRock
Raleigh 	Nashville
Nashville 	LittleRock
Springfield 	Jackson
Frankfort 	Charleston
Nashville 	Montgomery
Nashville 	Indianapolis
Indianapolis	Lansing
Denver          Topeka
Harrisburg 	Columbus
Indianapolis 	Columbus
Trenton 	Harrisburg
Topeka          JeffersonCity
Indianapolis 	Springfield
Atlanta 	Frankfort
Lincoln 	Denver	
Sacramento 	CarsonCity
SaltLakeCity 	CarsonCity
SaltLakeCity 	Cheyenne
Lincoln 	Cheyenne
Richmond 	Harrisburg
Harrisburg 	Hartford
SaltLakeCity 	Boise
Atlanta 	Montgomery
Montpelier 	Concord
Boston  	Concord
SaintPaul 	Madison
Bismark 	SaintPaul
Boston  	Augusta
Richmond 	Trenton
Providence 	Boston
Austin		BatonRouge
Jackson 	Austin
Raleigh	        Columbia
SantaFe         OklahomaCity
Jackson 	BatonRouge
Austin  	LittleRock
SaltLakeCity	Sacramento
SantaFe 	Phoenix
Montgomery	Jackson
SaltLakeCity	Denver
Atlanta 	Tallahassee
BatonRouge 	Atlanta
Olympia 	Boise
Sacramento 	Phoenix
Topeka  	DesMoines
Olympia 	Helena
Frankfort	Nashville
JeffersonCity	Frankfort
Richmond 	Raleigh
Frankfort	Indianapolis
Charleston	Richmond
Columbus 	Frankfort
Columbus	Charleston
DesMoines	Lincoln
CarsonCity	Boise
Lincoln 	Topeka
Montpelier	Hartford
Boston		Montpelier
Albany		Harrisburg
Albany		Montpelier
Pierre		Bismark
Pierre		Lincoln
Pierre		Cheyenne
SaltLakeCity		Sacramento
